GKZ,Gebietsname,Wahlberechtigte,stimmen_abg,stimmen_ung,stimmen_guel,candidate,result_abs,result_pct,bland,bezirk,sprengl,wahlkarte
G91001,Favoriten,108023,44835,655,44180,Dr. Alexander Van der Bellen,25647,58.05115436849253,Wien,FALSE,TRUE,FALSE
G91001,Favoriten,108023,44835,655,44180,Dr. Tassilo Wallentin,3670,8.306926210955183,Wien,FALSE,TRUE,FALSE
G91001,Favoriten,108023,44835,655,44180,Dr. Dominik Wlazny,4411,9.98415572657311,Wien,FALSE,TRUE,FALSE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Dr. Michael Brunner,108,0.9974141115626155,Wien,FALSE,TRUE,TRUE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Gerald Grosz,329,3.0384189139268565,Wien,FALSE,TRUE,TRUE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Dr. Walter Rosenkranz,933,8.616549685999262,Wien,FALSE,TRUE,TRUE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Heinrich Staudinger,91,0.8404137421499815,Wien,FALSE,TRUE,TRUE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Dr. Alexander Van der Bellen,7355,67.92574806058367,Wien,FALSE,TRUE,TRUE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Dr. Tassilo Wallentin,788,7.277428888067972,Wien,FALSE,TRUE,TRUE
G91099,"Wahlkarten - Wien 10.,Favoriten",0,10941,113,10828,Dr. Dominik Wlazny,1224,11.304026597709642,Wien,FALSE,TRUE,TRUE
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Dr. Michael Brunner,556,1.8201460045176285,Wien,TRUE,FALSE,FALSE
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Gerald Grosz,1881,6.157724162765574,Wien,TRUE,FALSE,FALSE
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Dr. Walter Rosenkranz,5067,16.58755360591875,Wien,TRUE,FALSE,FALSE
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Heinrich Staudinger,204,0.6678233541755327,Wien,TRUE,FALSE,FALSE
