"Source","Target","Weight"
"stefanverra","kleinezeitung",2
"thomascik","kleinezeitung",1
"kraft_deejay","knight",1
"thobiarchivator","koerberhistory",1
"samuelabane","kulimaupa",1
"lady_desire_net","lady",1
"adverteisa","laimer33",1
"frankenzicke","luckytownhh",1
"mel_chiara74","luckytownhh",1
"claudine","lutzg",1
"thomasknorra","lutzg",1
"wachkatze","lutzg",1
"mohamedbeji61","maischberger",2
"walterspannagel","marccohen",1
"adverteisa","marcopogo666",11
"apfl","marcopogo666",1
"drakkalas","marcopogo666",1
"evaspreitzhofer","marcopogo666",1
"hashtag_jetzt","marcopogo666",1
"grafkaroly","markusmoser6",1
"kalu_artist","martinkinderva1",1
"wiese_r","martinkinderva1",1
"willyscheibi63","martinmeinung",1
"chrisnew66","maurer",1
"frankmmueller","maxotte",1
"giid78","maxotte",1
"roland250159","maxotte",1
"ingriddiamond","mehnig",1
"italyincologne","mhkbd",1
"karolinebaier","mhkbd",1
"landnrw","mhkbd",1
"schenser21","morgenpost",1
"dirk69911901","ndrmv",1
"ndr","ndrmv",1
"lady_desire_net","net",1
"adverteisa","norbertdresche2",1
"drakkalas","norbertdresche2",1
"italyincologne","nrw",1
"karolinebaier","nrw",1
"landnrw","nrw",1
"green_evita08","orf",1
"lowsulfurbunker","ozeandekade",1
"chrisnew66","pandi",1
"adverteisa","philbrokes",1
"roland250159","poebelsozi",1
"weitracher","rauch",1
"adverteisa","rbiegen",1
"samuelabane","rnd",1
"adverteisa","rudolfinez",1
"claudine","sanktionsfrei",1
"lutzg","sanktionsfrei",1
"thomasknorra","sanktionsfrei",1
"wachkatze","sanktionsfrei",1
"samuelabane","saschalobo",1
"frankmmueller","says",1
"giid78","says",1
"roland250159","says",1
"liberty0863","schweizok2",1
"luifrom","schweizok2",1
"chrisnew66","sigi",1
"arnonyhm421","simonschuster9",1
"marcus_didius","simonschuster9",1
"claudine","socialpatrik",1
"lutzg","socialpatrik",1
"thomasknorra","socialpatrik",1
"wachkatze","socialpatrik",1
"claudine","spdbt",1
"lutzg","spdbt",1
"thomasknorra","spdbt",1
"wachkatze","spdbt",1
"ced_ry","srfnews",1
"devcalebalways","srfnews",1
"eiphone68","srfnews",1
"idamaria16","srfnews",1
"saverio6518","srfnews",1
"scheerenberger","srfnews",1
"uherren1","srfnews",1
"staatskanzleibb","stadt",1
"thomascik","stefanverra",1
"claudine","steinhaushelena",1
"lutzg","steinhaushelena",1
"thomasknorra","steinhaushelena",1
"wachkatze","steinhaushelena",1
"roland250159","swagenknecht",1
"kathch","tachlesnews",1
"engelbertdejaco","tasswall",1
"stefanverra","tasswall",1
"collectingsmile","ticker",1
"adverteisa","tmairhofer",1
"walterspannagel","ulrichschneider",1
"lowsulfurbunker","un",1
"marcelreinmann","un",1
"italyincologne","unescowelterbe",1
"karolinebaier","unescowelterbe",1
"landnrw","unescowelterbe",1
"mhkbd_nrw","unescowelterbe",1
"apfl","vanderbellen",1
"chrisnew66","vanderbellen",1
"gallupinstitut","vanderbellen",1
"grafkaroly","vanderbellen",1
"green_evita08","vanderbellen",1
"hashtag_jetzt","vanderbellen",1
"kl_pulcino","vanderbellen",1
"kohn_sylvia","vanderbellen",1
"lukele","vanderbellen",1
"markusmoser6","vanderbellen",1
"theshield_1969","vanderbellen",1
"weitracher","vanderbellen",1
"alexwolf1982","vdb",1
"tomfis6","vdb",1
"epd_west","vemission",1
"chrisnew66","wkogler",1
"nonewspeak","youtube",1
