,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,username,name
36,2250172014,2022-09-29 07:00:12+00:00, ,1575379900973957120,de,39,7,0,17,Twitter Web App,"In Kenntnis, dass die Aserbaidschanische Botschaft #Berlin mit Hassparolen gegen #Armenien plakatiert ist, hat #Bundespräsident Steinmeier den Botschafter v #Aserbaidschan wie geplant akkreditiert. So wird #Hatespeech gegen #Armenier von höchster Stelle in #Deutschland toleriert! https://t.co/LuIwpSttY7 https://t.co/osiqBe5deF",IliasUyar,Ilias Uyar - Իլիաս Հացպանեան
37,1517074899570995200,2022-09-29 05:53:07+00:00, ,1575363019588206597,de,0,0,0,0,Twitter for iPad,"@poebelsozi 🤭🤭🤭🤭🤭
Nur eine 🔵⚫️🟡 Regierung mit Einbindung von Frau @SWagenknecht als #Außenministerin und Herr @maxotte_says als #Bundespräsident",Roland250159,Roland
38,817842489814118401,2022-09-29 00:02:51+00:00, ,1575274872791523330,de,0,0,0,2,Twitter for iPhone,"RT @luckytownhh: Ist der #bundespräsident eigentlich gerade auf Tauchstation, beim Konzert von @feinesahne, beim Grußkartenschreiben für de…",frankenzicke,enisa✝️
39,1458828373946507264,2022-09-28 23:58:30+00:00, ,1575273776652161024,de,0,0,0,2,Twitter for iPhone,"RT @luckytownhh: Ist der #bundespräsident eigentlich gerade auf Tauchstation, beim Konzert von @feinesahne, beim Grußkartenschreiben für de…",mel_chiara74,Chia
40,97993463,2022-09-28 23:41:50+00:00, ,1575269582780104704,de,6,0,1,2,Twitter Web App,"Ist der #bundespräsident eigentlich gerade auf Tauchstation, beim Konzert von @feinesahne, beim Grußkartenschreiben für den NahenOsten oder für die Deutschen da?",luckytownhh,Stefan Buchholz
41,407369507,2022-09-28 22:08:13+00:00, ,1575246022795722753,de,4,1,0,0,Twitter for iPhone,#staudinger - So sehr Oida … und dass mir da mehr als ein Filmemacher einfällt übrigens auch …  #bundespraesident #wahl danke @corinnamilborn auch wenn’s sicher hart war ;-) https://t.co/nm1ofHBeTd,EvaSpreitzhofer,Eva Spreitzhofer
42,49894445,2022-09-28 21:12:30+00:00, ,1575232000662810624,de,0,0,0,0,Twitter for iPhone,"@schweizok2 Danke, #bundespraesident Frank-Walter Steinmeier https://t.co/1zVZzRPZt2",Luifrom,luifrom
43,114480520,2022-09-28 19:42:09+00:00, ,1575209266897526784,de,0,0,0,0,Twitter Web App,"es ist ja auf den ersten Blick sehr unterhaltsam, was da an Meldungen im BP-Wahlkampf bzw. den Interviews vom Stapel gelassen wird - aber vom Ausland aus betrachtet müssen sich die Leute eigentlich denken, dass alle Ösis eingeliefert gehören #bundespraesident",99sea99,Wolfgang Winkelbauer
44,4187352195,2022-09-28 19:07:00+00:00, ,1575200419613011968,de,0,0,0,0,Twitter for Android,"@corinnamilborn Ok, Frage beantwortet. Danke. #puls24 #milborn #Bundespräsident",TheRealMrBoccia,RobertS
45,25062102,2022-09-28 19:06:16+00:00, ,1575200234765832192,de,0,0,0,1,Twitter Web App,"RT @StefanVerra: ➡️ Kandidatencheck zur Österreichwahl!
Heute @GeraldGrosz.

Für die @kleinezeitung, Österreichs zweitgrößter Tageszeitung,…",thomascik,Thomas Cik
